Season,PlayerId,TeamId,FranchiseId,First Name,Last Name,Nick Name,Height,Weight,Date Of Birth,Hand,G,LD,RD,LW,C,RW,Aggression,Bravery,Determination,Teamplayer,Leadership,Temperament,Professionalism,Mental Toughness,Goalie Stamina,Acceleration,Agility,Balance,Speed,Stamina,Strength,Fighting,Screening,Getting Open,Passing,Puck Handling,Shooting Accuracy,Shooting Range,Offensive Read,Checking,Faceoffs,Hitting,Positioning,Shot Blocking,Stickchecking,Defensive Read,G Positioning,G Passing,G Pokecheck,Blocker,Glove,Rebound,Recovery,G Puckhandling,Low Shots,G Skating,Reflexes,Skating,Shooting,Playmaking,Defending,Physicality,Conditioning,Character,Hockey Sense,Goalie Technique,Goalie Overall Positioning,Ability,Potential
2034/2035,158222,19,19,Conor,Keung,,76,232,2011-4-4,Left,0,14,20,5,5,8,16,16,15,13,14,7,12,1,1,16,15,15,17,16,15,14,10,17,19,16,11,19,19,14,10,17,13,17,15,13,1,1,1,1,1,1,1,1,1,1,1,16,15,14,14,14,17,11,13,0,0,4,4
2034/2035,158225,3,3,Jamie,Orzel,,75,228,2011-12-31,Left,0,8,5,20,12,16,15,14,17,13,12,5,16,1,1,13,13,14,14,15,15,13,14,14,13,19,14,8,16,15,11,15,11,7,12,13,1,1,1,1,1,1,1,1,1,1,1,13,15,12,11,14,17,13,15,0,0,2.5,2.5
2034/2035,153555,0,0,Dean,Caggiula,,72,208,2010-4-6,Right,0,8,8,16,20,15,6,11,17,12,12,18,11,1,1,16,15,15,14,14,13,9,10,15,16,16,16,8,17,14,15,10,12,9,13,11,1,1,1,1,1,1,1,1,1,1,1,15,16,12,12,10,16,12,16,0,0,2.5,2.5
2034/2035,163273,3,3,Jamie,Bonner,,72,213,2012-1-16,Left,20,0,0,0,0,0,3,1,14,16,13,1,16,10,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,13,12,14,12,12,14,14,14,18,15,0,0,8,0,0,9,12,0,14,15,1.5,2
2034/2035,153575,5092,5092,Sage,Shewchuk,,74,219,2010-7-7,Left,0,20,19,8,6,5,5,10,14,12,12,19,14,1,1,13,15,12,12,16,13,6,10,10,16,16,9,15,16,10,7,8,11,12,11,11,1,1,1,1,1,1,1,1,1,1,1,12,12,13,11,9,17,10,11,0,0,2,2
2034/2035,18225,0,0,Cole,Caufield,,67,179,2001-1-2,Right,0,5,8,20,14,18,8,16,18,18,17,18,17,1,1,15,16,15,16,17,9,6,16,19,16,18,16,8,17,13,15,11,13,8,14,16,1,1,1,1,1,1,1,1,1,1,1,15,16,14,12,12,18,14,18,0,0,4,4
2034/2035,18226,10,10,Stanislav,Svozil,,72,190,2003-1-17,Left,0,20,16,8,5,5,9,14,12,15,13,14,15,1,1,13,12,16,15,10,13,6,10,14,17,17,12,19,18,16,9,15,15,14,16,15,1,1,1,1,1,1,1,1,1,1,1,14,15,14,15,12,14,11,15,0,0,2.5,2.5
2034/2035,18283,0,0,Juraj,Slafkovský,,76,238,2004-3-30,Left,0,15,10,20,17,16,9,15,20,15,14,11,16,1,1,16,15,14,15,15,17,10,17,15,17,17,17,7,15,11,13,14,14,8,14,14,1,1,1,1,1,1,1,1,1,1,1,15,15,13,11,14,17,13,15,0,0,3.5,3.5
2034/2035,18293,5092,5092,Tim,Stützle,,72,197,2002-1-15,Left,0,8,5,20,19,12,9,18,15,18,15,16,16,1,1,18,19,15,17,16,15,7,15,17,17,19,17,7,17,15,12,16,13,8,15,13,1,1,1,1,1,1,1,1,1,1,1,16,15,15,12,14,17,13,17,0,0,4.5,4.5
2034/2035,153617,22,22,Craig,Friedmann,,75,225,2010-11-5,Left,0,8,8,18,20,14,15,12,15,11,11,5,15,1,1,13,15,15,14,13,12,10,16,16,15,17,16,9,14,17,16,14,13,7,11,11,1,1,1,1,1,1,1,1,1,1,1,14,17,11,12,13,16,13,15,0,0,2.5,2.5
2034/2035,153631,27,27,Victor,Chessa,,77,237,2010-3-1,Left,0,8,5,20,17,18,7,11,17,14,10,19,15,1,1,15,13,15,16,14,14,7,16,16,16,16,15,7,19,13,12,12,19,9,16,16,1,1,1,1,1,1,1,1,1,1,1,15,14,13,14,12,16,13,17,0,0,2.5,3.5
2034/2035,18393,15,15,Seth,Tansem,,74,221,2006-1-3,Right,0,12,20,5,5,8,12,13,15,15,14,9,14,1,1,15,13,16,15,19,16,8,8,15,20,19,13,19,18,15,9,15,14,13,15,14,1,1,1,1,1,1,1,1,1,1,1,15,16,16,14,12,19,12,14,0,0,4,4
2034/2035,18402,15,15,Gavin,Garland,,73,217,2006-2-8,Right,0,5,8,14,20,20,10,12,13,14,14,11,14,1,1,12,14,15,16,15,14,12,15,16,17,16,17,10,16,14,14,10,15,9,14,14,1,1,1,1,1,1,1,1,1,1,1,14,18,14,13,12,17,11,16,0,0,3,3
2034/2035,18461,33,33,Tomas,Mrsic,,72,210,2006-2-26,Left,0,8,5,16,20,12,10,16,15,13,13,11,13,1,1,16,16,17,15,17,15,7,15,16,16,18,17,6,16,13,14,12,14,8,14,13,1,1,1,1,1,1,1,1,1,1,1,16,14,14,12,13,18,11,16,0,0,3,3
2034/2035,18484,12,12,Reid,Varkonyi,,71,205,2006-1-15,Right,0,8,8,12,20,12,8,13,15,13,12,15,13,1,1,17,17,16,18,16,16,6,16,16,16,16,15,9,17,16,14,14,16,7,17,15,1,1,1,1,1,1,1,1,1,1,1,17,16,14,14,13,17,12,16,0,0,3.5,3.5
2034/2035,158285,4838,4838,Simon,Cotey,,71,206,2011-7-28,Right,0,8,8,20,19,15,6,9,17,8,9,18,12,1,1,15,17,15,15,15,13,8,14,15,15,17,14,6,17,12,15,12,15,8,14,14,1,1,1,1,1,1,1,1,1,1,1,16,14,11,13,11,17,12,17,0,0,3,3.5
2034/2035,18497,27,27,William,Eklund,,70,197,2002-10-12,Left,0,8,5,20,19,16,8,14,17,16,13,15,15,1,1,20,16,14,16,14,14,9,14,17,16,16,15,7,17,14,11,15,13,8,15,14,1,1,1,1,1,1,1,1,1,1,1,16,14,15,12,13,17,12,17,0,0,3.5,3.5
2034/2035,18559,10,10,Tyson,Buczowski,,73,213,2006-1-27,Left,0,20,15,8,5,5,13,16,16,13,12,8,13,1,1,11,13,14,12,18,13,11,9,13,17,17,12,19,20,15,9,18,12,13,12,11,1,1,1,1,1,1,1,1,1,1,1,12,15,13,13,13,18,11,11,0,0,3.5,3.5
2034/2035,18573,21,21,Joel,Blomqvist,,74,222,2002-1-10,Left,20,0,0,0,0,0,7,1,18,16,11,1,12,17,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,10,14,15,12,16,13,13,15,13,17,0,0,8,0,1,9,12,0,12,14,3,3
2034/2035,18618,16,16,John,Peterka,J.J.,71,205,2002-1-14,Left,0,8,5,19,14,20,7,14,16,18,14,16,16,1,1,15,16,15,14,19,12,5,16,16,15,15,16,6,16,12,12,10,12,7,13,12,1,1,1,1,1,1,1,1,1,1,1,14,14,14,11,11,19,12,16,0,0,3,3
2034/2035,18626,27,27,Vasili,Ponomaryov,,70,193,2002-3-13,Left,0,8,5,18,19,20,8,13,17,16,19,16,15,1,1,16,16,17,16,16,13,8,15,16,16,17,16,7,18,12,15,11,14,8,12,13,1,1,1,1,1,1,1,1,1,1,1,16,15,14,11,12,18,13,17,0,0,3.5,3.5
2034/2035,18633,20,20,Yaroslav,Askarov,,76,202,2002-6-16,Right,20,0,0,0,0,0,7,1,13,19,14,1,19,16,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,13,13,16,14,14,15,14,17,13,16,0,0,9,0,1,10,11,0,13,14,2.5,2.5
2034/2035,18661,4182,4182,Clarke,Caswell,,72,208,2006-2-2,Left,0,8,6,20,15,18,9,13,13,17,12,12,15,1,1,18,16,16,17,15,15,10,14,17,17,17,20,6,16,11,12,11,13,10,13,13,1,1,1,1,1,1,1,1,1,1,1,17,16,15,11,12,17,10,16,0,0,3.5,3.5
2034/2035,168445,5092,5092,Justin,Langlois,,71,204,2013-12-9,Right,0,14,20,5,5,8,6,9,15,12,12,20,13,1,1,14,14,14,13,14,10,8,6,11,14,20,10,14,13,14,6,11,14,18,16,15,1,1,1,1,1,1,1,1,1,1,1,13,12,12,15,8,17,13,14,0,0,1.5,2.5
2034/2035,18912,18,18,Logan,Stankoven,,70,199,2003-2-26,Right,0,5,8,12,19,20,9,14,15,15,16,16,18,1,1,16,18,14,17,15,13,6,15,16,15,15,16,7,15,13,14,11,14,6,13,13,1,1,1,1,1,1,1,1,1,1,1,15,15,12,11,12,17,12,15,0,0,3,3
2034/2035,168486,5092,5092,J.D.,Felker,,72,207,2013-5-22,Left,0,8,8,13,20,12,6,13,17,16,13,21,13,1,1,17,18,17,16,18,12,11,13,15,18,17,16,9,19,16,18,11,16,8,16,16,1,1,1,1,1,1,1,1,1,1,1,15,16,14,13,10,18,13,16,0,0,3,5
2034/2035,19187,5098,5098,Keith,McInnis,,74,193,2006-1-8,Left,0,20,15,16,8,11,15,15,14,13,15,8,13,1,1,14,12,14,13,14,13,13,11,12,17,16,10,17,16,16,9,16,15,17,14,14,1,1,1,1,1,1,1,1,1,1,1,13,13,14,15,14,16,12,14,0,0,2,2
2034/2035,151033,5098,5098,Alan,Dolan,,72,212,2009-1-18,Right,0,6,8,20,10,19,6,11,15,13,12,20,15,1,1,16,16,16,16,19,13,7,14,17,15,16,16,11,15,14,13,14,15,9,17,17,1,1,1,1,1,1,1,1,1,1,1,16,19,12,13,11,18,12,16,0,0,3,3.5
2034/2035,151034,29,29,Randy,Dobson,,71,198,2009-1-27,Right,0,5,8,13,13,20,8,10,17,13,11,20,14,1,1,14,14,16,14,14,11,9,16,14,15,17,15,9,14,13,12,13,14,9,13,16,1,1,1,1,1,1,1,1,1,1,1,14,16,13,12,11,16,11,14,0,0,2.5,2.5
2034/2035,19241,19,19,Will,Shields,,70,202,2006-3-24,Right,0,5,8,20,19,19,10,14,13,17,15,13,14,1,1,16,16,16,16,15,15,11,15,17,16,18,17,8,16,15,15,15,15,10,15,14,1,1,1,1,1,1,1,1,1,1,1,16,16,15,13,13,17,12,16,0,0,3.5,3.5
2034/2035,19258,8,8,Owen,Phillips,,72,209,2006-1-12,Left,0,20,20,8,5,8,8,9,13,16,16,14,15,1,1,13,12,13,13,17,13,8,8,12,17,16,14,18,18,14,11,11,16,14,17,14,1,1,1,1,1,1,1,1,1,1,1,13,16,14,15,9,18,13,15,0,0,2.5,2.5
2034/2035,19311,23,23,Anthony,Paré,,75,227,2006-9-1,Left,0,20,19,8,5,5,10,14,14,13,13,12,18,1,1,15,14,16,17,17,15,13,11,13,17,19,14,18,17,14,8,17,15,13,16,19,1,1,1,1,1,1,1,1,1,1,1,16,16,14,14,13,18,12,17,0,0,3.5,3.5
2034/2035,19402,4838,4838,Jérémy,Leroux,,71,203,2006-5-15,Right,0,5,8,12,20,19,10,16,15,14,16,11,17,1,1,16,16,13,15,15,18,9,19,17,13,15,18,10,16,14,15,15,16,10,15,15,1,1,1,1,1,1,1,1,1,1,1,14,19,11,13,15,17,12,16,0,0,3.5,3.5
2034/2035,19485,14,14,Aidan,Park,,73,214,2006-1-6,Right,0,6,12,12,20,18,8,11,14,14,13,12,12,1,1,14,16,15,15,16,17,7,15,15,18,17,15,5,18,15,18,12,15,8,14,14,1,1,1,1,1,1,1,1,1,1,1,14,12,15,13,12,17,11,16,0,0,3.5,3.5
2034/2035,19505,32,32,Brady,Martin,,71,203,2007-1-1,Left,0,8,5,19,20,19,8,14,14,18,13,13,14,1,1,18,17,18,18,16,12,11,16,17,16,17,19,9,16,14,15,12,14,10,16,17,1,1,1,1,1,1,1,1,1,1,1,18,18,16,13,12,18,11,16,0,0,4.5,4.5
2034/2035,19507,27,27,William,Moore,,72,208,2007-3-24,Left,0,8,5,19,20,14,7,18,14,15,12,15,13,1,1,18,14,15,16,16,12,9,16,16,16,17,17,8,16,15,16,12,15,10,15,13,1,1,1,1,1,1,1,1,1,1,1,16,16,14,13,13,18,11,16,0,0,3,3
2034/2035,158364,3,3,Scott,Toufexis,,77,238,2011-6-8,Left,0,20,14,8,5,5,10,12,20,9,15,11,19,1,1,18,15,15,15,15,16,11,11,12,17,18,11,18,16,18,8,18,18,18,19,17,1,1,1,1,1,1,1,1,1,1,1,16,14,12,18,13,17,14,17,0,0,4.5,4.5
2034/2035,19538,5098,5098,Ivar,Stenburg,,71,204,2007-9-30,Left,0,8,5,18,19,20,8,14,17,17,14,16,13,1,1,16,18,16,14,19,11,8,12,14,18,18,18,8,18,13,16,12,16,7,14,14,1,1,1,1,1,1,1,1,1,1,1,15,17,16,12,11,19,12,16,0,0,3.5,3.5
2034/2035,19567,32,32,Dominic,Pajkic,,72,208,2008-1-1,Left,0,20,16,8,5,5,10,13,15,13,13,12,12,1,1,16,14,14,14,17,13,8,10,12,16,16,10,17,19,15,8,16,16,13,14,15,1,1,1,1,1,1,1,1,1,1,1,14,13,14,14,12,18,12,15,0,0,2.5,2.5
2034/2035,19576,5,5,Harrison,Boettiger,,77,237,2007-12-11,Left,20,0,0,0,0,0,6,1,15,17,13,1,18,17,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,11,15,15,15,15,16,13,15,17,16,0,0,9,0,1,10,12,0,13,15,3.5,3.5
2034/2035,19798,32,32,Justin,Huynh,,72,208,2006-1-20,Right,0,14,20,5,6,8,8,12,14,15,17,13,15,1,1,14,14,14,13,14,12,8,10,12,19,18,13,20,20,14,10,10,16,13,17,15,1,1,1,1,1,1,1,1,1,1,1,13,16,15,15,10,17,12,15,0,0,3.5,3.5
2034/2035,151312,15,15,Ron,Avery,,74,220,2009-11-19,Left,0,5,8,12,11,20,7,12,15,12,13,20,14,1,1,16,16,15,17,14,13,8,14,16,16,16,15,7,16,12,12,10,17,8,15,15,1,1,1,1,1,1,1,1,1,1,1,16,14,12,13,11,17,12,16,0,0,3,3
2034/2035,19814,25,25,Evan,Maillet,,72,210,2006-3-10,Left,20,0,0,0,0,0,6,1,11,15,12,1,16,14,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,13,15,16,15,16,15,14,16,14,15,0,0,8,0,1,10,11,0,14,14,2.5,2.5
2034/2035,19815,12,12,Noah,Kosick,,71,207,2008-8-18,Left,0,8,5,16,20,12,12,15,15,18,17,11,16,1,1,16,18,15,15,16,15,11,15,14,18,18,17,7,20,12,16,14,14,10,14,16,1,1,1,1,1,1,1,1,1,1,1,15,15,16,12,14,17,12,17,0,0,4,4
2034/2035,19840,4182,4182,Riley,Patterson,,74,221,2006-3-22,Left,0,8,8,12,20,13,9,13,13,13,14,12,12,1,1,16,18,16,16,18,15,8,17,17,14,18,17,8,14,13,16,13,15,10,14,14,1,1,1,1,1,1,1,1,1,1,1,16,16,12,13,13,18,11,15,0,0,3.5,3.5
2034/2035,19871,30,30,Beckett,Sennecke,Sam Bennett,73,215,2006-1-28,Right,0,8,7,19,19,20,12,14,16,17,17,16,16,12,1,12,14,9,13,14,13,7,13,15,16,15,14,13,17,14,12,15,15,8,14,17,1,1,1,1,1,1,1,1,1,1,1,11,20,16,12,13,16,13,16,0,0,3.5,3.5
2034/2035,19877,15,15,Malcolm,Spence,,75,217,2006-9-22,Left,0,8,5,20,12,19,9,16,16,20,16,14,16,1,1,16,17,16,19,17,15,8,16,16,17,16,17,7,19,15,13,12,16,10,15,16,1,1,1,1,1,1,1,1,1,1,1,17,15,15,14,13,18,12,17,0,0,4.5,4.5
2034/2035,19881,28,28,Nolan,Donnelly,,73,216,2006-1-1,Left,0,8,5,20,10,12,10,12,11,12,12,10,14,1,1,18,14,15,14,16,15,7,17,17,13,15,18,7,16,13,13,13,17,8,13,14,1,1,1,1,1,1,1,1,1,1,1,15,16,10,12,13,17,10,16,0,0,3.5,3.5
2034/2035,173965,12,12,Doug,Kreutz,,72,198,2014-11-14,Right,0,14,20,5,5,8,8,11,15,13,10,12,11,1,1,14,11,12,12,16,11,7,8,11,13,14,9,17,12,11,8,12,12,11,11,11,1,1,1,1,1,1,1,1,1,1,1,12,13,12,11,10,18,11,11,0,0,1.5,1.5
2034/2035,19922,26,26,Connor,McDavid,,73,196,1997-1-13,Left,0,8,5,14,20,14,9,15,15,19,17,15,16,1,1,17,13,13,20,18,12,5,12,19,19,19,17,7,20,12,16,12,12,6,10,12,1,1,1,1,1,1,1,1,1,1,1,16,15,16,10,12,19,15,19,0,0,4,4
2034/2035,153961,29,29,Javier,Estrada,,75,229,2010-2-9,Right,0,5,8,14,15,20,10,13,15,13,12,12,17,1,1,15,12,13,14,15,15,10,15,15,16,14,14,8,15,12,11,15,13,10,15,13,1,1,1,1,1,1,1,1,1,1,1,14,15,13,12,13,17,12,15,0,0,2.5,3
2034/2035,158446,24,24,Cody,Muzzin,,71,197,2011-4-23,Left,0,5,8,20,13,19,5,12,17,13,13,20,14,1,1,16,15,15,16,15,13,10,13,14,16,16,16,8,18,12,11,13,14,8,15,17,1,1,1,1,1,1,1,1,1,1,1,15,16,13,12,11,17,11,16,0,0,3,3.5
2034/2035,154108,4838,4838,David,Berger,,77,237,2010-1-6,Left,0,8,8,13,20,19,10,15,14,13,13,13,15,1,1,14,15,13,12,16,16,8,17,16,13,15,16,7,15,10,17,12,12,7,13,14,1,1,1,1,1,1,1,1,1,1,1,13,15,11,10,14,17,11,15,0,0,2.5,3
2034/2035,154163,30,30,Lukas,Kaluza,,73,218,2010-12-13,Right,0,5,8,18,10,20,5,11,14,15,12,19,16,1,1,16,15,14,15,14,16,8,14,15,18,16,13,9,16,12,11,11,14,9,15,14,1,1,1,1,1,1,1,1,1,1,1,15,15,14,12,11,16,12,15,0,0,3,3
2034/2035,154177,4182,4182,Robert,Prokopec,,74,220,2010-1-28,Left,0,5,8,13,10,20,10,13,12,16,12,12,15,1,1,15,14,14,15,18,14,8,14,15,17,17,15,6,16,15,12,13,14,9,14,14,1,1,1,1,1,1,1,1,1,1,1,14,13,14,13,12,18,12,15,0,0,3,3
2034/2035,154196,5088,5088,Milan,Sopik,,74,219,2010-11-24,Left,20,0,0,0,0,0,2,1,17,15,11,1,16,15,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,16,18,15,15,17,17,17,16,16,17,0,0,8,0,0,9,12,0,17,16,4,4
2034/2035,154306,30,30,Janne,Parviainen,,73,210,2010-1-20,Left,0,8,5,20,17,18,6,8,17,14,10,18,14,1,1,13,15,15,14,14,10,8,13,15,14,16,16,8,15,13,12,13,13,7,15,17,1,1,1,1,1,1,1,1,1,1,1,13,15,12,11,9,15,11,14,0,0,1,2
2034/2035,154312,30,30,Samuel,Marila,,72,208,2010-6-13,Left,0,19,20,8,5,5,6,10,16,12,13,20,12,1,1,15,12,14,16,17,10,9,7,12,13,14,14,14,13,16,7,11,17,15,18,16,1,1,1,1,1,1,1,1,1,1,1,15,14,11,16,8,18,12,16,0,0,2,2.5
2034/2035,154322,5098,5098,Hannu,Leinonen,,78,245,2010-2-6,Left,0,8,8,15,20,14,10,12,13,13,13,15,14,1,1,15,16,17,15,15,16,8,16,15,16,16,17,9,16,14,15,16,15,10,17,15,1,1,1,1,1,1,1,1,1,1,1,15,17,13,14,14,17,10,15,0,0,2.5,5
2034/2035,158513,25,25,Brett,Wilson,,71,202,2011-9-30,Right,0,17,20,5,5,8,6,10,15,12,13,20,15,1,1,14,15,14,17,15,12,9,8,13,18,14,10,17,15,11,10,10,16,11,13,12,1,1,1,1,1,1,1,1,1,1,1,15,13,13,12,9,17,11,14,0,0,2,2
2034/2035,21192,17,17,Jan,Bednár,,76,236,2002-8-26,Left,20,0,0,0,0,0,8,1,17,19,13,1,17,18,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,14,16,14,14,16,16,16,16,15,17,0,0,9,0,1,9,12,0,15,16,4,4
2034/2035,154474,33,33,Anatoly,Ischenko,,73,214,2010-9-9,Left,0,8,8,14,20,17,7,13,18,14,12,20,14,1,1,14,16,14,16,16,14,12,13,17,18,17,15,8,15,13,15,15,15,9,15,14,1,1,1,1,1,1,1,1,1,1,1,14,15,13,13,12,17,11,16,0,0,3,3.5
2034/2035,163540,31,31,Kyle,Cord,,75,225,2012-10-27,Left,20,0,0,0,0,0,4,1,20,14,9,1,18,12,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,12,14,13,13,15,15,13,17,14,15,0,0,8,0,0,10,12,0,13,15,2,5
2034/2035,163543,0,0,Joel,Preston,,74,203,2012-3-27,Left,0,8,8,13,20,14,7,10,14,11,11,11,14,1,1,13,13,12,13,13,12,10,12,14,15,13,13,6,14,11,13,10,12,9,12,11,1,1,1,1,1,1,1,1,1,1,1,13,14,13,12,11,17,11,15,0,0,2,2
2034/2035,158581,5098,5098,Roland,Strudwick,,73,219,2011-5-10,Left,0,8,5,20,10,14,11,13,17,15,12,12,17,1,1,16,15,18,16,14,15,8,14,13,18,17,16,10,14,13,15,12,16,9,14,15,1,1,1,1,1,1,1,1,1,1,1,16,18,14,13,13,16,12,13,0,0,3,5
2034/2035,154619,31,31,Tom,Wellig,,73,213,2010-4-15,Right,0,5,8,15,10,20,9,11,14,11,11,13,17,1,1,15,18,15,13,15,13,8,14,16,17,15,16,8,16,13,13,15,14,9,16,13,1,1,1,1,1,1,1,1,1,1,1,14,16,12,13,12,17,11,16,0,0,3,3
2034/2035,158588,5088,5088,Lincoln,Dark,,72,212,2011-9-6,Right,0,5,8,16,10,20,6,11,16,12,10,19,16,1,1,15,16,16,18,16,12,9,15,16,14,17,15,11,15,14,12,15,17,10,14,15,1,1,1,1,1,1,1,1,1,1,1,16,18,12,13,11,17,11,15,0,0,2.5,3.5
2034/2035,154680,4182,4182,Simon,Nilsson,,75,222,2010-1-30,Left,0,19,20,14,6,5,5,10,17,12,11,20,13,1,1,15,14,15,12,14,12,9,10,11,15,16,10,15,13,13,11,11,14,15,19,14,1,1,1,1,1,1,1,1,1,1,1,14,12,12,15,9,16,12,14,0,0,1.5,2
2034/2035,154693,4838,4838,Simon,Lindblom,,73,215,2010-2-10,Left,0,8,5,20,10,19,6,9,18,11,11,20,15,1,1,13,14,14,15,20,11,7,15,14,14,15,14,11,13,15,12,16,16,10,15,16,1,1,1,1,1,1,1,1,1,1,1,14,18,11,14,11,19,12,13,0,0,2.5,3.5
2034/2035,154705,18,18,Isak,Svensson,,71,202,2010-4-13,Right,0,8,8,12,20,15,11,11,14,14,13,11,17,1,1,14,13,13,12,20,13,9,14,18,15,15,16,8,16,13,17,14,17,8,16,14,1,1,1,1,1,1,1,1,1,1,1,13,16,13,13,12,19,11,17,0,0,3,4
2034/2035,154732,4838,4838,Andreas,Brännlund,,76,232,2010-2-12,Left,20,0,0,0,0,0,5,1,15,14,14,1,16,17,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,14,13,15,14,12,17,14,17,12,15,0,0,8,0,1,10,13,0,13,15,2,3
2034/2035,154740,17,17,Pontus,Svensson,,71,205,2010-8-15,Left,0,8,5,20,12,17,5,11,15,14,12,20,17,1,1,16,18,18,18,17,15,7,13,16,19,18,15,9,19,13,15,11,15,11,16,16,1,1,1,1,1,1,1,1,1,1,1,17,16,15,13,11,18,12,17,0,0,4,5
2034/2035,179324,10,10,Matt,Kewaquon,,72,210,2015-6-28,Left,0,20,16,8,5,5,8,12,16,8,10,12,15,1,1,11,11,12,13,16,11,9,8,10,11,12,7,13,11,12,8,13,12,11,13,14,1,1,1,1,1,1,1,1,1,1,1,12,10,9,12,10,17,13,13,0,0,0.5,1.5
2034/2035,168726,24,24,Aaron,Murphy,,74,220,2013-11-29,Right,0,5,8,12,11,20,5,12,13,11,11,17,12,1,1,13,16,13,13,13,11,4,10,13,13,15,14,6,14,11,12,9,14,6,10,11,1,1,1,1,1,1,1,1,1,1,1,14,14,12,11,10,16,13,14,0,0,2,2.5
2034/2035,158654,3,3,Casey,Sanderson,,73,208,2011-8-25,Left,0,8,8,12,20,13,6,12,17,15,11,17,11,1,1,15,16,14,15,16,10,7,11,16,18,16,14,5,17,12,18,12,13,7,14,12,1,1,1,1,1,1,1,1,1,1,1,14,12,14,11,10,17,12,16,0,0,2.5,2.5
2034/2035,154899,5098,5098,Will,Spittel,,72,209,2010-5-24,Left,0,5,8,12,11,20,10,12,13,13,12,14,17,1,1,15,16,15,15,14,15,11,14,18,15,16,16,10,17,16,12,13,14,9,15,15,1,1,1,1,1,1,1,1,1,1,1,15,18,13,13,12,16,11,17,0,0,3,4
2034/2035,154920,27,27,Brennan,Oliver,,72,208,2010-1-8,Left,0,5,8,12,10,20,6,11,15,12,12,19,14,1,1,16,15,15,17,15,13,5,15,17,17,14,15,6,14,13,11,8,15,9,15,12,1,1,1,1,1,1,1,1,1,1,1,16,13,12,13,10,17,14,15,0,0,2.5,2.5
2034/2035,154937,5,5,Kevin,Downing,,76,209,2010-1-16,Right,0,18,20,5,5,8,5,8,12,13,11,20,18,1,1,13,14,15,14,14,11,8,7,12,16,15,9,16,18,12,10,9,15,16,14,12,1,1,1,1,1,1,1,1,1,1,1,14,12,13,14,8,17,9,13,0,0,2,3
2034/2035,154946,22,22,Samuel,McGrowther,,77,235,2010-1-20,Left,0,8,8,19,20,12,17,15,14,13,13,4,13,1,1,15,14,19,16,13,14,13,17,19,14,16,20,10,15,16,16,18,13,9,13,12,1,1,1,1,1,1,1,1,1,1,1,16,20,12,12,16,16,13,17,0,0,3.5,3.5
2034/2035,154980,8,8,Karl,Iverson,,73,214,2010-4-19,Left,0,8,6,20,14,14,10,13,15,14,13,13,16,1,1,16,16,14,14,15,14,11,15,16,17,16,16,9,18,14,12,17,15,7,15,14,1,1,1,1,1,1,1,1,1,1,1,14,17,14,12,13,17,12,17,0,0,3.5,4
2034/2035,22839,19,19,Tobias,Tomík,,76,235,2007-12-18,Left,0,7,8,14,19,20,11,14,18,13,15,11,13,1,1,16,20,17,18,16,14,8,18,19,15,16,18,9,17,12,15,12,18,8,15,14,1,1,1,1,1,1,1,1,1,1,1,17,18,12,13,13,18,12,18,0,0,4.5,4.5
2034/2035,168778,16,16,Laurent,Thomas,,77,239,2013-4-25,Left,0,8,8,13,20,14,5,12,16,11,12,20,16,1,1,16,15,12,17,15,13,7,14,16,12,13,16,11,14,13,14,11,15,9,13,10,1,1,1,1,1,1,1,1,1,1,1,15,19,11,12,11,17,11,15,0,0,2.5,3
2034/2035,158718,23,23,Kevin,Harding,,73,214,2011-3-24,Left,0,8,8,12,20,13,11,12,18,10,10,13,17,1,1,16,15,14,16,17,14,12,15,16,17,17,15,7,20,14,16,17,15,10,16,15,1,1,1,1,1,1,1,1,1,1,1,15,14,12,13,13,18,13,18,0,0,3.5,5
2034/2035,155228,8,8,Jason,Hazelaar,,75,231,2010-9-27,Left,0,7,10,17,13,20,17,14,19,13,11,3,16,1,1,16,14,18,14,14,14,11,18,14,15,16,16,8,17,17,12,17,16,9,14,15,1,1,1,1,1,1,1,1,1,1,1,16,16,12,14,16,16,11,15,0,0,3,4.5
2034/2035,155310,22,22,Ali,Simpson,,72,209,2010-11-21,Left,0,20,15,8,5,5,10,12,16,14,12,12,13,1,1,13,13,14,13,14,14,12,9,12,16,14,11,15,19,13,7,15,14,12,14,13,1,1,1,1,1,1,1,1,1,1,1,13,13,14,13,12,17,11,13,0,0,2.5,2.5
